vib,modality,vision,par_id,traj_ind,x,y
novib,cursor,preview,4,35,-334.0336385,113.5516692
novib,cursor,preview,4,40,-319.8876769,127.1057846
novib,cursor,preview,4,45,-303.6723923,142.1597462
novib,cursor,preview,4,50,-284.8195769,157.0174385
novib,cursor,preview,4,55,-270.6442462,166.6684846
novib,cursor,preview,4,60,-259.4743538,173.1964462
novib,cursor,preview,4,65,-252.9665769,176.4582308
novib,cursor,preview,4,70,-245.0371308,180.3220462
novib,cursor,preview,4,75,-237.8982923,183.5368231
novib,cursor,preview,4,80,-234.1521385,184.9695385
novib,cursor,preview,4,85,-230.2709769,186.3019231
novib,cursor,preview,4,90,-227.4842692,187.2844154
novib,cursor,preview,4,95,-224.748,188.3268846
novib,cursor,preview,4,100,-222.7976231,189.4423538
novib,cursor,preview,6,0,-401.9090357,9.248135714
novib,cursor,preview,6,5,-398.3696071,16.83339286
novib,cursor,preview,6,10,-392.2857429,28.32600714
novib,cursor,preview,6,15,-384.9221071,39.79742857
novib,cursor,preview,6,20,-373.8711286,55.75271429
novib,cursor,preview,6,25,-357.9770071,75.64880714
novib,cursor,preview,6,30,-342.1286286,93.02953571
novib,cursor,preview,6,35,-328.3081786,106.6123714
novib,cursor,preview,6,40,-313.7711643,119.5084429
novib,cursor,preview,6,45,-298.7974857,132.3382357
novib,cursor,preview,6,50,-282.4572286,145.2676214
novib,cursor,preview,6,55,-274.1745071,151.2576071
novib,cursor,preview,6,60,-263.9946357,158.3786786
novib,cursor,preview,6,65,-256.4224143,163.2857786
novib,cursor,preview,6,70,-249.1756857,167.9944143
novib,cursor,preview,6,75,-244.9127929,170.8871857
novib,cursor,preview,6,80,-240.4040714,173.8015714
novib,cursor,preview,6,85,-237.4791286,175.6436429
novib,cursor,preview,6,90,-235.60515,176.6282643
novib,cursor,preview,6,95,-233.8576857,177.1905786
