location,target,cue_ind,soa,screen_calib_routine.thisRepN,screen_calib_routine.thisTrialN,screen_calib_routine.thisN,screen_calib_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_welcome.started,text_welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_type,text_4.started,text_4.stopped,screen_calib_circle_2.started,screen_calib_circle_2.stopped,calib_start.started,calib_start.stopped,screen_calib_circle.started,screen_calib_circle.stopped,text_5.started,text_5.stopped,sound_2.started,sound_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_7.started,text_7.stopped,keep_trial,text_instr_2.started,text_instr_2.stopped,soa_actual,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,participant,expVersion,age,sex,date,expName,psychopyVersion,frameRate,
,2,2,350,,,,,2,11,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36662929999874905,space,1.1487494000029983,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,850,,,,,2,12,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666857999996864,space,0.5683677999986685,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,100,,,,,2,13,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11670500000036554,space,0.5421630000018922,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,1100,,,,,2,14,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1167402999999467,space,0.6781377000006614,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,350,,,,,2,15,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3667200000018056,space,1.1597651000010956,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,100,,,,,3,0,48,8,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11664039999959641,space,1.0939926999999443,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,850,,,,,3,1,49,14,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8667046999980812,space,0.7074966000000131,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,1100,,,,,3,2,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1167172999994364,space,0.8047699000017019,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,850,,,,,3,3,51,10,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666656999994302,space,0.5646539000008488,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,850,,,,,3,4,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666875000017171,space,0.6172669000006863,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
